Time Stamp (ms),qw,qx,qy,qz
14562,0.0463257,-0.137268,0.217285,-0.965271
14596,0.079895,-0.0706177,0.145569,-0.983582
14629,0.0854492,-0.0704346,0.111023,-0.98761
14662,0.0803223,-0.0421753,0.0661011,-0.993652
14696,0.0883179,-0.0370483,0.0747681,-0.992615
14731,0.0840454,-0.0379639,0.0928345,-0.991394
14763,0.0894165,-0.0405273,0.0783691,-0.992065
14797,0.0909424,-0.0385742,0.0664063,-0.99292
14831,0.0874634,-0.0293579,0.0297241,-0.9953
14864,0.0843506,-0.0330811,0.0307007,-0.995422
14898,0.0762329,-0.0502319,0.0690308,-0.993408
14932,0.0784302,-0.0608521,0.119812,-0.987793
14964,0.0910034,-0.0979614,0.241028,-0.961243
14999,0.104309,-0.114014,0.296875,-0.942322
15032,0.107361,-0.167114,0.334656,-0.921143
15066,0.101318,-0.190857,0.371094,-0.903076
15100,0.0959473,-0.192871,0.370239,-0.903625
15134,0.0944824,-0.209595,0.355408,-0.906006
15166,0.0955811,-0.192627,0.336548,-0.916809
15200,0.116516,-0.165466,0.324158,-0.924072
15233,0.109436,-0.138916,0.285889,-0.941833
15267,0.0706177,-0.149475,0.281006,-0.945374
15302,0.064209,-0.151123,0.316467,-0.934265
15335,0.0736084,-0.154724,0.287537,-0.942322
15368,0.078125,-0.148682,0.260559,-0.950745
15402,0.104614,-0.166321,0.282532,-0.938904
15435,0.118958,-0.168762,0.265442,-0.941772
15468,0.164917,-0.164551,0.239197,-0.942627
15502,0.174438,-0.171082,0.244507,-0.938354
15536,0.184204,-0.146057,0.20929,-0.949158
15569,0.159302,-0.111694,0.185059,-0.963257
15603,0.161804,-0.0853882,0.193298,-0.963928
15637,0.141052,-0.100037,0.192078,-0.966003
15670,0.11969,-0.116516,0.167542,-0.971619
15703,0.0456543,-0.153198,0.189941,-0.968689
15737,-0.0125732,-0.174622,0.194397,-0.965149
15771,-0.0389404,-0.161316,0.172668,-0.970886
15804,-0.109924,-0.154114,0.180298,-0.96521
15839,-0.22052,-0.167664,0.174683,-0.944824
15871,-0.226624,-0.13385,0.17157,-0.949341
15905,-0.207886,-0.107971,0.164246,-0.958191
15940,-0.200806,-0.0918579,0.174561,-0.959595
15972,-0.204285,-0.0863037,0.150085,-0.963501
16008,-0.199097,-0.0615845,0.16394,-0.964233
16040,-0.191711,-0.059082,0.140259,-0.969604
16074,-0.202637,-0.0637207,0.140686,-0.96698
16106,-0.177979,-0.0552368,0.12738,-0.974182
16140,-0.228943,-0.0778198,0.108459,-0.964233
16175,-0.218384,-0.0747681,0.104614,-0.967346
16208,-0.195374,-0.0834351,0.0900269,-0.973022
16239,-0.214111,-0.083374,0.0287476,-0.972839
16275,-0.284973,-0.0814209,-0.0120239,-0.955017
16308,-0.257446,-0.0795288,0.0827026,-0.959473
16342,-0.202698,-0.086853,0.122375,-0.967651
16376,-0.181763,-0.10199,0.19989,-0.957397
16409,-0.164856,-0.104858,0.282898,-0.939026
